Proventos;Código ISIN;Deliberado em;Negócios com até;% / Fator de Grupamento;Ativo Emitido;Observações;cvmCode
CIS RED CAP;BRRPADACNOR1;08/09/1998;26/11/1998;100.0;BRRPPRACNOR9;;9954
CIS RED CAP;BRRPADACNOR1;08/09/1998;26/11/1998;100.0;BRRPADACNOR1;;9954
CIS RED CAP;BRRPADACNPA4;08/09/1998;26/11/1998;100.0;BRRPPRACNPA2;;9954
CIS RED CAP;BRRPADACNPA4;08/09/1998;26/11/1998;100.0;BRRPADACNPA4;;9954
CIS RED CAP;BRRPADACNPB2;08/09/1998;26/11/1998;100.0;BRRPPRACNPB0;;9954
CIS RED CAP;BRRPADACNPB2;08/09/1998;26/11/1998;100.0;BRRPADACNPB2;;9954
BONIFICACAO;BRRPADACNOR1;21/08/1989;21/08/1989;500.0;BRRPADACNOR1;;9954
BONIFICACAO;BRRPADACNPA4;21/08/1989;21/08/1989;500.0;BRRPADACNPA4;;9954
BONIFICACAO;BRRPADACNPB2;21/08/1989;21/08/1989;500.0;BRRPADACNPB2;;9954
BONIFICACAO;BRALUPACNOR8;20/04/2016;20/04/2016;6.5;BRALUPACNOR8;;21490
BONIFICACAO;BRALUPACNPR5;20/04/2016;20/04/2016;6.5;BRALUPACNPR5;;21490
BONIFICACAO;BRALUPCDAM15;20/04/2016;20/04/2016;6.5;BRALUPCDAM15;;21490
GRUPAMENTO;BRCBEEACNOR3;15/12/2015;14/01/2016;2.5e-05;BRCBEEACNOR3;;3050
CIS RED CAP QTD;BRCBEEACNOR3;29/12/2005;02/08/2006;0.28334053219;BRAMPIACNOR1;;3050
CIS RED CAP QTD;BRCBEEACNOR3;29/12/2005;02/08/2006;92.61731232092;BRCBEEACNOR3;;3050
BONIFICACAO;BRCBEEACNOR3;23/04/1993;23/04/1993;1100.0;BRCBEEACNOR3;;3050
DESDOBRAMENTO;BRANIMACNOR6;18/02/2021;18/02/2021;200.0;BRANIMACNOR6;;23248
BONIFICACAO;BRATOMACNOR1;29/04/2022;29/04/2022;13.90451617;BRATOMACNOR1;;15423
GRUPAMENTO;BRATOMACNOR1;23/06/2016;25/07/2016;0.33333333334;BRATOMACNOR1;;15423
DESDOBRAMENTO;BRAURABDR001;05/08/2020;25/08/2020;1400.0;BRAURABDR001;;80187
RESG TOTAL RV;BRAUREARNPR4;15/02/2022;25/03/2022;100.0;;;26620
GRUPAMENTO;BRAZEVACNOR0;08/05/2019;07/06/2019;0.2;BRAZEVACNOR0;;11975
GRUPAMENTO;BRAZEVACNPR7;08/05/2019;07/06/2019;0.2;BRAZEVACNPR7;;11975
DESDOBRAMENTO;BRAZEVACNOR0;29/04/2011;29/04/2011;99900.0;BRAZEVACNOR0;;11975
DESDOBRAMENTO;BRAZEVACNPR7;29/04/2011;29/04/2011;99900.0;BRAZEVACNPR7;;11975
BONIFICACAO;BRAZEVACEOR9;30/04/1987;29/05/1987;300.0;BRAZEVACEOR9;;11975
BONIFICACAO;BRAZEVACEPR6;30/04/1987;29/05/1987;300.0;BRAZEVACEPR6;;11975
BONIFICACAO;BRAZEVACPOR5;30/04/1987;29/05/1987;300.0;BRAZEVACPOR5;;11975
BONIFICACAO;BRAZEVACPPR2;30/04/1987;29/05/1987;300.0;BRAZEVACPPR2;;11975
DESDOBRAMENTO;BRBAHIACNOR1;18/08/2021;18/08/2021;400.0;BRBAHIACNOR1;;701
GRUPAMENTO;BRBAHIACNOR1;09/09/2016;31/10/2016;0.1;BRBAHIACNOR1;;701
BONIFICACAO;BRBAHIACNOR1;15/04/2011;15/04/2011;10.0;BRBAHIACNOR1;;701
REST CAP ACOES;BRBAHIACNOR1;12/07/2010;13/09/2010;125.0;BRITUBACNOR4;;701
INCORPORACAO;BRBIDIA01OR4;12/05/2022;17/06/2022;16.66666666667;BRINHFARNPR0;;24406
INCORPORACAO;BRBIDIA01PR1;12/05/2022;17/06/2022;16.66666666667;BRINHFARNPR0;;24406
INCORPORACAO;BRBIDIACNOR3;12/05/2022;17/06/2022;16.66666666667;BRINHFZ01PR0;;24406
INCORPORACAO;BRBIDIACNPR0;12/05/2022;17/06/2022;16.66666666667;BRINHFZ01PR0;;24406
INCORPORACAO;BRBIDICDAXX3;12/05/2022;17/06/2022;50.0;BRINHFZ01PR0;;24406
INCORPORACAO;BRBIDIUNT002;12/05/2022;17/06/2022;50.0;BRINHFARNPR0;;24406
DESDOBRAMENTO;BRBIDIACNOR3;28/04/2021;25/05/2021;200.0;BRBIDIACNOR3;;24406
DESDOBRAMENTO;BRBIDIACNPR0;28/04/2021;25/05/2021;200.0;BRBIDIACNPR0;;24406
DESDOBRAMENTO;BRBIDICDAXX3;28/04/2021;25/05/2021;200.0;BRBIDICDAXX3;;24406
GRUPAMENTO;BRBEESACNOR9;16/10/2014;16/01/2015;0.2;BRBEESACNOR9;;1155
GRUPAMENTO;BRBEESACNPR6;16/10/2014;16/01/2015;0.2;BRBEESACNPR6;;1155
DESDOBRAMENTO;BRBEESACNOR9;17/01/2012;17/08/2012;99900.0;BRBEESACNOR9;;1155
DESDOBRAMENTO;BRBEESACNPR6;17/01/2012;17/08/2012;99900.0;BRBEESACNPR6;;1155
BONIFICACAO;BRBEESACNOR9;30/04/1992;30/04/1992;12300.0;BRBEESACNOR9;;1155
GRUPAMENTO;BRBDLLACNOR1;21/04/1987;23/05/1988;1.0;BRBDLLACNOR1;;1520
GRUPAMENTO;BRBDLLACNPR8;21/04/1987;23/05/1988;1.0;BRBDLLACNPR8;;1520
GRUPAMENTO;BRBDLLACPOR6;21/04/1987;23/05/1988;0.001;BRBDLLACPOR6;;1520
GRUPAMENTO;BRBDLLACPPR3;21/04/1987;23/05/1988;0.001;BRBDLLACPPR3;;1520
BONIFICACAO;BRBDLLACPOR6;29/10/1981;05/02/1982;100.0;BRBDLLACPOR6;;1520
BONIFICACAO;BRBDLLACPPR3;29/10/1981;05/02/1982;100.0;BRBDLLACPPR3;;1520
BONIFICACAO;BRBDLLACNOR1;29/10/1981;30/12/1981;100.0;BRBDLLACNOR1;;1520
BONIFICACAO;BRBDLLACNPR8;29/10/1981;30/12/1981;100.0;BRBDLLACNPR8;;1520
DESDOBRAMENTO;BRBALMACNOR5;30/04/2014;30/04/2014;900.0;BRBALMACNOR5;;1562
DESDOBRAMENTO;BRBALMACNPR2;30/04/2014;30/04/2014;900.0;BRBALMACNPR2;;1562
GRUPAMENTO;BRBALMACNOR5;29/04/2005;27/05/2005;0.001;BRBALMACNOR5;;1562
GRUPAMENTO;BRBALMACNPR2;29/04/2005;27/05/2005;0.001;BRBALMACNPR2;;1562
BONIFICACAO;BRBALMACPOR0;29/04/1991;27/06/1991;351900.0;BRBALMACNOR5;;1562
BONIFICACAO;BRBALMACPPR7;29/04/1991;27/06/1991;351900.0;BRBALMACNPR2;;1562
CIS RED CAP;BRBRIVACNOR6;18/08/1998;26/11/1998;100.0;BRRHPRACNOR6;;1384
CIS RED CAP;BRBRIVACNOR6;18/08/1998;26/11/1998;100.0;BRBRIVACNOR6;;1384
CIS RED CAP;BRBRIVACNPR3;18/08/1998;26/11/1998;100.0;BRRHPRACNPR3;;1384
CIS RED CAP;BRBRIVACNPR3;18/08/1998;26/11/1998;100.0;BRBRIVACNPR3;;1384
BONIFICACAO;BRBRIVACNOR6;28/08/1989;28/08/1989;200.0;BRBRIVACNOR6;;1384
BONIFICACAO;BRBRIVACNPR3;28/08/1989;28/08/1989;200.0;BRBRIVACNPR3;;1384
GRUPAMENTO;BRBAZAACNOR0;07/03/2016;19/08/2016;0.01;BRBAZAACNOR0;;922
BONIFICACAO;BRBAZAACNOR0;11/08/1988;11/08/1988;900.0;BRBAZAACNOR0;;922
DESDOBRAMENTO;BRBBASACNOR3;25/04/2007;01/06/2007;200.0;BRBBASACNOR3;;1023
GRUPAMENTO;BRBBASACNOR3;12/11/2003;23/01/2004;0.001;BRBBASACNOR3;;1023
GRUPAMENTO;BRBBASN01OR7;12/11/2003;23/01/2004;0.001;BRBBASN01OR7;;1023
GRUPAMENTO;BRBBASN02OR5;12/11/2003;23/01/2004;0.001;BRBBASN02OR5;;1023
BONIFICACAO;BRBBASA0NOR9;17/06/1996;17/06/1996;20.0;;;1023
BONIFICACAO;BRBBASA0NOR9;17/06/1996;17/06/1996;30.0;;;1023
BONIFICACAO;BRBBASA0NOR9;17/06/1996;17/06/1996;50.0;;;1023
BONIFICACAO;BRBBASA0NPR6;17/06/1996;17/06/1996;20.0;;;1023
BONIFICACAO;BRBBASA0NPR6;17/06/1996;17/06/1996;30.0;;;1023
BONIFICACAO;BRBBASA0NPR6;17/06/1996;17/06/1996;50.0;;;1023
BONIFICACAO;BRBBASACNOR3;17/06/1996;17/06/1996;20.0;;;1023
BONIFICACAO;BRBBASACNOR3;17/06/1996;17/06/1996;30.0;;;1023
BONIFICACAO;BRBBASACNOR3;17/06/1996;17/06/1996;50.0;;;1023
BONIFICACAO;BRBBASACNPR0;17/06/1996;17/06/1996;20.0;;;1023
BONIFICACAO;BRBBASACNPR0;17/06/1996;17/06/1996;30.0;;;1023
BONIFICACAO;BRBBASACNPR0;17/06/1996;17/06/1996;50.0;;;1023
BONIFICACAO;BRBGIPACNOR1;22/04/2014;09/09/2014;45.0;BRBGIPACNOR1;;1120
BONIFICACAO;BRBGIPACNPR8;22/04/2014;09/09/2014;45.0;BRBGIPACNPR8;;1120
GRUPAMENTO;BRBGIPACNOR1;28/06/2007;07/12/2007;0.02;BRBGIPACNOR1;;1120
GRUPAMENTO;BRBGIPACNPR8;28/06/2007;07/12/2007;0.02;BRBGIPACNPR8;;1120
DESDOBRAMENTO;BRBGIPACNOR1;28/07/1997;28/07/1997;150.0;BRBGIPACNOR1;;1120
DESDOBRAMENTO;BRBGIPACNPR8;28/07/1997;28/07/1997;150.0;BRBGIPACNPR8;;1120
GRUPAMENTO;BRBPARACNOR5;30/06/2008;29/01/2009;0.001;BRBPARACNOR5;;1171
BONIFICACAO;BRBPARACNOR5;27/02/1987;27/02/1987;2900.0;BRBPARACNOR5;;1171
GRUPAMENTO;BRBRSRACNOR3;01/06/2007;23/07/2007;0.00666666667;BRBRSRACNOR3;;1210
GRUPAMENTO;BRBRSRACNPA6;01/06/2007;23/07/2007;0.00666666667;BRBRSRACNPA6;;1210
GRUPAMENTO;BRBRSRACNPB4;01/06/2007;23/07/2007;0.00666666667;BRBRSRACNPB4;;1210
BONIFICACAO;BRBRSRACNOR3;21/06/2007;21/06/2007;25.0;BRBRSRACNPA6;;1210
BONIFICACAO;BRBRSRACNPR0;21/06/2007;21/06/2007;25.0;BRBRSRACNPA6;;1210
GRUPAMENTO;BRBMINACNOR4;28/06/2017;12/09/2017;0.01;BRBMINACNOR4;;1309
GRUPAMENTO;BRBMINACNPR1;28/06/2017;12/09/2017;0.01;BRBMINACNPR1;;1309
RESG TOTAL RV;BRBMINR01OR9;03/08/2017;03/08/2017;100.0;;;1309
RESG TOTAL RV;BRBMINR01PR6;03/08/2017;03/08/2017;100.0;;;1309
BONIFICACAO;BRBMINACPPR6;01/07/1987;24/07/1987;99900.0;BRBMINACPPR6;;1309
GRUPAMENTO;BRBNBRACNOR8;17/03/2008;11/07/2008;0.0001;BRBNBRACNOR8;;1228
GRUPAMENTO;BRBNBRACNPR5;17/03/2008;11/07/2008;0.0001;BRBNBRACNPR5;;1228
BONIFICACAO;BRBNBRACNOR8;20/02/1990;20/02/1990;1000.0;BRBNBRACNOR8;;1228
BONIFICACAO;BRBNBRACNPR5;20/02/1990;20/02/1990;1000.0;BRBNBRACNPR5;;1228
RESG TOTAL RV;BRBPANE02PR2;05/12/2014;08/12/2014;100.0;;;21199
BONIFICACAO;BRPINEACNOR1;01/11/2013;06/01/2014;11.52127076236;BRPINEACNOR1;;20567
BONIFICACAO;BRPINEACNPR8;01/11/2013;06/01/2014;11.52127076236;BRPINEACNPR8;;20567
CIS RED CAP;BRSANBACNOR8;31/03/2021;15/10/2021;25.0;BRGETTACNOR4;;20532
CIS RED CAP;BRSANBACNOR8;31/03/2021;15/10/2021;100.0;BRSANBACNOR8;;20532
CIS RED CAP;BRSANBACNPR5;31/03/2021;15/10/2021;25.0;BRGETTACNPR1;;20532
CIS RED CAP;BRSANBACNPR5;31/03/2021;15/10/2021;100.0;BRSANBACNPR5;;20532
CIS RED CAP;BRSANBCDAM13;31/03/2021;15/10/2021;25.0;BRGETTCDAM17;;20532
CIS RED CAP;BRSANBCDAM13;31/03/2021;15/10/2021;100.0;BRSANBCDAM13;;20532
GRUPAMENTO;BRSANBACNOR8;18/03/2014;30/05/2014;0.01818181819;BRSANBACNOR8;;20532
GRUPAMENTO;BRSANBACNPR5;18/03/2014;30/05/2014;0.01818181819;BRSANBACNPR5;;20532
BONIFICACAO;BRSANBACNOR8;18/03/2014;27/05/2014;4.7619048;BRSANBACNPR5;;20532
BONIFICACAO;BRSANBACNPR5;18/03/2014;27/05/2014;4.7619048;BRSANBACNPR5;;20532
GRUPAMENTO;BRBMKSACNOR9;05/05/1987;31/05/1988;1.0;BRBMKSACNOR9;;1694
BONIFICACAO;BRBMKSACPOR4;26/12/1979;27/02/1980;10.0;BRBMKSACPOR4;;1694
BONIFICACAO;BRBMKSACPOR4;29/01/1979;09/03/1979;20.0;BRBMKSACPOR4;;1694
GRUPAMENTO;BRBOBRACNOR6;25/04/2005;03/06/2005;0.001;BRBOBRACNOR6;;12190
GRUPAMENTO;BRBOBRACNPR3;25/04/2005;03/06/2005;0.001;BRBOBRACNPR3;;12190
BONIFICACAO;BRBOBRACNOR6;29/05/1989;30/05/1989;900.0;BRBOBRACNOR6;;12190
BONIFICACAO;BRBOBRACNPR3;29/05/1989;30/05/1989;900.0;BRBOBRACNPR3;;12190
BONIFICACAO;BRBOBRACPPR8;29/05/1989;30/05/1989;900.0;BRBOBRACPPR8;;12190
BONIFICACAO;BRBRMLACNOR9;28/04/2017;28/04/2017;15.0;BRBRMLACNOR9;;19909
DESDOBRAMENTO;BRBRMLACNOR9;23/09/2010;23/09/2010;100.0;BRBRMLACNOR9;;19909
GRUPAMENTO;BRBRPRACNOR9;03/02/2010;03/02/2010;0.25;BRBRPRACNOR9;;19925
CIS RED CAP;BRBRPRACNOR9;11/12/2006;03/08/2007;0.00010747345;BRSAGPACNOR2;;19925
CIS RED CAP;BRBRPRACNOR9;11/12/2006;03/08/2007;0.00010747345;BRSAGPACNPR9;;19925
CIS RED CAP;BRBRPRACNOR9;11/12/2006;03/08/2007;0.00010747345;BRSAHYACNOR2;;19925
CIS RED CAP;BRBRPRACNOR9;11/12/2006;03/08/2007;0.00010747345;BRSAHYACNPR9;;19925
CIS RED CAP;BRBRPRACNOR9;11/12/2006;03/08/2007;0.00010747345;BRSETIACNOR2;;19925
CIS RED CAP;BRBRPRACNOR9;11/12/2006;03/08/2007;0.00010747345;BRSETIACNPR9;;19925
CIS RED CAP;BRBRPRACNOR9;11/12/2006;03/08/2007;0.00010747345;BRSIBAACNOR8;;19925
CIS RED CAP;BRBRPRACNOR9;11/12/2006;03/08/2007;0.00010747345;BRSIBAACNPR5;;19925
CIS RED CAP;BRBRPRACNOR9;11/12/2006;03/08/2007;100.0;BRBRPRACNOR9;;19925
REST CAP ACOES;BRBRAPACNOR5;15/10/2021;16/12/2021;33.2373453;BRVALEACNOR0;;18724
REST CAP ACOES;BRBRAPACNPR2;15/10/2021;16/12/2021;33.2373453;BRVALEACNOR0;;18724
BONIFICACAO;BRBRAPACNOR5;14/09/2021;20/09/2021;12.94774625;BRBRAPACNOR5;;18724
BONIFICACAO;BRBRAPACNPR2;14/09/2021;20/09/2021;12.94774625;BRBRAPACNPR2;;18724
DESDOBRAMENTO;BRBRAPACNOR5;29/04/2005;29/04/2005;100.0;BRBRAPACNOR5;;18724
DESDOBRAMENTO;BRBRAPACNPR2;29/04/2005;29/04/2005;100.0;BRBRAPACNPR2;;18724
GRUPAMENTO;BRBRAPACNOR5;30/04/2004;02/07/2004;2e-05;BRBRAPACNOR5;;18724
GRUPAMENTO;BRBRAPACNPR2;30/04/2004;02/07/2004;2e-05;BRBRAPACNPR2;;18724
DESDOBRAMENTO;BRAGROACNOR7;31/10/2007;31/10/2007;9900.0;BRAGROACNOR7;;20036
GRUPAMENTO;BRBRKMACNOR1;31/03/2005;13/05/2005;0.004;BRBRKMACNOR1;;4820
GRUPAMENTO;BRBRKMACNPA4;31/03/2005;13/05/2005;0.004;BRBRKMACNPA4;;4820
GRUPAMENTO;BRBRKMACNPB2;31/03/2005;13/05/2005;0.004;BRBRKMACNPB2;;4820
DESDOBRAMENTO;BRBRKMACNOR1;20/10/2003;20/10/2003;1900.0;BRBRKMACNOR1;;4820
DESDOBRAMENTO;BRBRKMACNPA4;20/10/2003;20/10/2003;1900.0;BRBRKMACNPA4;;4820
DESDOBRAMENTO;BRBRKMACNPB2;20/10/2003;20/10/2003;1900.0;BRBRKMACNPB2;;4820
DESDOBRAMENTO;BRBSLIACNOR5;03/08/2020;04/01/2021;900.0;BRBSLIACNOR5;;14206
DESDOBRAMENTO;BRBSLIACNPR2;03/08/2020;04/01/2021;900.0;BRBSLIACNPR2;;14206
GRUPAMENTO;BRBSLIACNOR5;29/04/2005;29/04/2005;0.001;BRBSLIACNOR5;;14206
GRUPAMENTO;BRBSLIACNPR2;29/04/2005;29/04/2005;0.001;BRBSLIACNPR2;;14206
BONIFICACAO;BRBSLIACNOR5;23/12/1994;26/12/1994;39900.0;BRBSLIACNOR5;;14206
BONIFICACAO;BRBSLIACNPR2;23/12/1994;26/12/1994;39900.0;BRBSLIACNPR2;;14206
DESDOBRAMENTO;BRBRFSACNOR8;31/03/2010;31/03/2010;100.0;BRBRFSACNOR8;;16292
DESDOBRAMENTO;BRCAMBACNOR4;14/08/2019;14/08/2019;900.0;BRCAMBACNOR4;;2100
DESDOBRAMENTO;BRCAMBACNPR1;14/08/2019;14/08/2019;900.0;BRCAMBACNPR1;;2100
GRUPAMENTO;BRCAMBACNOR4;30/05/2016;29/06/2016;0.1;BRCAMBACNOR4;;2100
GRUPAMENTO;BRCAMBACNPR1;30/05/2016;29/06/2016;0.1;BRCAMBACNPR1;;2100
BONIFICACAO;BRCAMBA0PPR6;27/11/1985;20/12/1985;120.0;BRCAMBACPPR6;;2100
BONIFICACAO;BRCAMBACPOR9;27/11/1985;20/12/1985;120.0;BRCAMBACPOR9;;2100
BONIFICACAO;BRCAMBACPPR6;27/11/1985;20/12/1985;120.0;BRCAMBACPPR6;;2100
BONIFICACAO;BRCAMBA0EPR0;27/11/1985;29/11/1985;120.0;BRCAMBACEPR0;;2100
BONIFICACAO;BRCAMBACEOR3;27/11/1985;29/11/1985;120.0;BRCAMBACEOR3;;2100
BONIFICACAO;BRCAMBACEPR0;27/11/1985;29/11/1985;120.0;BRCAMBACEPR0;;2100
BONIFICACAO;BRCAMBACNOR4;27/11/1985;29/11/1985;120.0;BRCAMBACNOR4;;2100
BONIFICACAO;BRCAMBACNPR1;27/11/1985;29/11/1985;120.0;BRCAMBACNPR1;;2100
GRUPAMENTO;BRMAPTACNOR8;16/11/2015;23/12/2015;0.1;BRMAPTACNOR8;;13854
GRUPAMENTO;BRMAPTACNPR5;16/11/2015;23/12/2015;0.1;BRMAPTACNPR5;;13854
GRUPAMENTO;BRELETACNOR6;16/07/2007;17/08/2007;0.002;BRELETACNOR6;;2437
GRUPAMENTO;BRELETACNPA9;16/07/2007;17/08/2007;0.002;BRELETACNPA9;;2437
GRUPAMENTO;BRELETACNPB7;16/07/2007;17/08/2007;0.002;BRELETACNPB7;;2437
CIS RED CAP;BRELETACNOR6;29/01/1998;29/05/1998;100.0;BRGRSUACNOR6;;2437
CIS RED CAP;BRELETACNOR6;29/01/1998;29/05/1998;100.0;BRELETACNOR6;;2437
CIS RED CAP;BRELETACNPA9;29/01/1998;29/05/1998;100.0;BRGRSUACNPA9;;2437
CIS RED CAP;BRELETACNPA9;29/01/1998;29/05/1998;100.0;BRELETACNPA9;;2437
CIS RED CAP;BRELETACNPB7;29/01/1998;29/05/1998;100.0;BRGRSUACNPB7;;2437
CIS RED CAP;BRELETACNPB7;29/01/1998;29/05/1998;100.0;BRELETACNPB7;;2437
DESDOBRAMENTO;BRELETACNOR6;15/12/1997;15/12/1997;900.0;BRELETACNOR6;;2437
DESDOBRAMENTO;BRELETACNPA9;15/12/1997;15/12/1997;900.0;BRELETACNPA9;;2437
DESDOBRAMENTO;BRELETACNPB7;15/12/1997;15/12/1997;900.0;BRELETACNPB7;;2437
BONIFICACAO;BRELETACNOR6;06/06/1991;06/06/1991;100.0;BRELETACNOR6;;2437
BONIFICACAO;BRELETACNPA9;06/06/1991;06/06/1991;100.0;BRELETACNPA9;;2437
BONIFICACAO;BRELETACNPB7;06/06/1991;06/06/1991;100.0;BRELETACNPB7;;2437
GRUPAMENTO;BRCLSCACNOR6;11/08/2006;29/09/2006;0.05;BRCLSCACNOR6;;2461
GRUPAMENTO;BRCLSCACNPA9;11/08/2006;29/09/2006;0.05;BRCLSCACNPA9;;2461
GRUPAMENTO;BRCLSCACNPB7;11/08/2006;29/09/2006;0.05;BRCLSCACNPB7;;2461
BONIFICACAO;BRCLSCA0NOR4;22/03/1993;22/03/1993;50.0;BRCLSCACNPB7;;2461
BONIFICACAO;BRCLSCA0NPR1;22/03/1993;22/03/1993;50.0;BRCLSCACNPB7;;2461
BONIFICACAO;BRCLSCACNOR6;22/03/1993;22/03/1993;50.0;BRCLSCACNPB7;;2461
BONIFICACAO;BRCLSCACNPR3;22/03/1993;22/03/1993;50.0;BRCLSCACNPB7;;2461
CIS RED CAP;BRPCARACNOR3;31/12/2020;26/02/2021;100.0;BRASAIACNOR0;;14826
CIS RED CAP;BRPCARACNOR3;31/12/2020;26/02/2021;100.0;BRPCARACNOR3;;14826
REST CAP C/ RED;BRPCARA01PB5;18/09/2009;18/09/2009;70.7310652;BRPCARA01PB5;;14826
GRUPAMENTO;BRPCARACNOR3;30/07/2007;31/08/2007;0.002;BRPCARACNOR3;;14826
GRUPAMENTO;BRPCARACNPR0;30/07/2007;31/08/2007;0.002;BRPCARACNPR0;;14826
RESG TOTAL RV;BRCASNR05OR2;22/05/2020;22/05/2020;100.0;;;16861
RESG TOTAL RV;BRCASNR05PR9;22/05/2020;22/05/2020;100.0;;;16861
REST CAP ACOES;BRGPARACNOR4;22/07/2010;30/09/2010;0.347834;BRCGTLACNOR5;;21393
GRUPAMENTO;BRCEEBACNOR3;06/11/2007;07/12/2007;0.01;BRCEEBACNOR3;;14524
GRUPAMENTO;BRCEEBACNPA6;06/11/2007;07/12/2007;0.01;BRCEEBACNPA6;;14524
GRUPAMENTO;BRCEEBACNPB4;06/11/2007;07/12/2007;0.01;BRCEEBACNPB4;;14524
BONIFICACAO;BRCEEBACNOR3;29/11/2005;28/07/2006;100.0;BRAFLUACNOR9;;14524
BONIFICACAO;BRCEEBACNPA6;29/11/2005;28/07/2006;100.0;BRAFLUACNPA2;;14524
BONIFICACAO;BRCEEBACNPB4;29/11/2005;28/07/2006;100.0;BRAFLUACNPB0;;14524
BONIFICACAO;BRCMIGACNOR6;29/04/2022;29/04/2022;29.999999976;BRCMIGACNOR6;;2453
BONIFICACAO;BRCMIGACNPR3;29/04/2022;29/04/2022;29.999999976;BRCMIGACNPR3;;2453
GRUPAMENTO;BRCMIGACNOR6;26/04/2007;01/06/2007;0.002;BRCMIGACNOR6;;2453
GRUPAMENTO;BRCMIGACNPR3;26/04/2007;01/06/2007;0.002;BRCMIGACNPR3;;2453
GRUPAMENTO;BRCEPEACNOR3;07/11/2007;10/12/2007;0.001;BRCEPEACNOR3;;14362
GRUPAMENTO;BRCEPEACNPA6;07/11/2007;10/12/2007;0.001;BRCEPEACNPA6;;14362
GRUPAMENTO;BRCEPEACNPB4;07/11/2007;10/12/2007;0.001;BRCEPEACNPB4;;14362
GRUPAMENTO;BRCOCEACNOR0;30/04/2007;01/06/2007;0.0005;BRCOCEACNOR0;;14869
GRUPAMENTO;BRCOCEACNPA3;30/04/2007;01/06/2007;0.0005;BRCOCEACNPA3;;14869
